Player,G,TGT,REC,REC_YDS,REC_TD,LG,20+,RUSH_ATT,RUSH_YDS,RUSH_TD,FPTS
Mike Wallace,16,105,57,788,5,352,11,1,4,0,109.2
Benjamin Watson,17,89,68,583,4,238,5,0,0,0,82.29999999999998
Jeremy Maclin,12,72,40,440,3,231,3,0,0,0,62.00000000000001
Javorius Allen,17,61,46,250,2,204,1,158,628,4,123.80000000000003
Alex Collins,16,42,25,205,0,305,6,232,1051,7,163.6
Chris Moore,13,41,19,254,4,163,5,2,-9,0,54.50000000000001
Nick Boyle,16,40,30,227,0,157,0,0,0,0,24.699999999999996
Maxx Williams,9,18,15,86,1,62,0,2,6,0,13.2
Patrick Ricard,7,5,5,14,2,0,0,0,0,0,0.0
