Player,G,TGT,REC,REC_YDS,REC_TD,LG,20+,RUSH_ATT,RUSH_YDS,RUSH_TD,FPTS
Dez Bryant,17,140,72,863,6,403,8,1,-4,0,119.90000000000002
Jason Witten,17,90,65,577,5,216,3,0,0,0,85.70000000000002
Terrance Williams,17,82,55,573,0,273,6,3,24,0,59.69999999999999
Cole Beasley,15,63,36,314,4,202,2,0,0,0,55.4
Ezekiel Elliott,11,43,29,307,2,195,6,269,1086,7,191.3
Rod Smith,13,23,19,202,1,111,1,55,232,4,73.4
Noah Brown,8,10,4,33,0,35,0,0,0,0,3.3
Jamize Olawale,7,7,6,33,0,35,0,9,43,1,13.600000000000001
Geoff Swaim,2,2,2,25,0,25,0,0,0,0,2.5
